URL,Tweet Content
https://twitter.com/ujiiiiiiii2/status/1408480489720012804,"“Minyoon - 𝗶𝗻𝘁𝗲𝗿𝘁𝘄𝗶𝗻𝗲 𝗹𝗼𝘃𝗲
Short au 

Tentang kisah perjalanan yoongi yang menjalin kasih dengan park jimin sahabat nya.”"
https://twitter.com/ujiiiiiiii2/status/1408565105709617159,“049— Benci”
https://twitter.com/ujiiiiiiii2/status/1408572239901970433,“Just bored”
https://twitter.com/ujiiiiiiii2/status/1408573397517279235,“検My Edit's”
https://twitter.com/ujiiiiiiii2/status/1408573951593238530,“https://t.co/BGsj6aOQ1n”
https://twitter.com/ujiiiiiiii2/status/1408574268724584448,“https://t.co/EdkJYyi1eC”
https://twitter.com/ujiiiiiiii2/status/1408574343181869057,“https://t.co/IYYfVy8ROH”
https://twitter.com/ujiiiiiiii2/status/1408917607395168257,“taehyung &amp; hoseok being the most adorable duo ♥ — a thread”
https://twitter.com/ujiiiiiiii2/status/1408918935181750278,“ㄷㅊㅌ 짐슈🐥🐱”
https://twitter.com/ujiiiiiiii2/status/1408922520531574785,"“𝐌𝐢𝐧𝐲𝐨𝐨𝐧 𝐋𝐨𝐤𝐚𝐥 𝐀𝐔
𝐒𝐞𝐥𝐟𝐢𝐬𝐡

Berawal dari saling mencaci dan berakhir dengan saling mencintai. Disini, di kota Bandung tepatnya di Jl. Braga, kedua insan tersebut di pertemukan. Awalnya semua berjalan indah, sampai suatu hari sesuatu terungkap.”"
https://twitter.com/ujiiiiiiii2/status/1408923303138381831,"“𝐌𝐢𝐧𝐲𝐨𝐨𝐧 𝐬𝐡𝐨𝐫𝐭 𝐀𝐔
𝐑𝐨𝐥𝐞𝐩𝐥𝐚𝐲𝐞𝐫

Hidup bertetangga dengan Park Jimin adalah azab dunia bagi Min Yoongi. Sehari tidak diwarnai dengan keributan seperti ada yang kurang dari mereka. Tapi siapa sangka ternyata mereka menjadi sepasang kekasih di dunia Roleplay.”"
https://twitter.com/ujiiiiiiii2/status/1408945688742793216,“@minyoonation Minta link nder”
https://twitter.com/ujiiiiiiii2/status/1408956843049644033,"“• ᴍɪɴʏᴏᴏɴ ᴀᴜ

[𝐘𝐞𝐬 𝐌𝐲 𝐋𝐨𝐫𝐝]

Tentang Min Yoongi, sang penerus kerajaan diera modern. Bersama ksatria abadi sekaligus rahasia tergelap istana, Jimin.”"
https://twitter.com/ujiiiiiiii2/status/1408965696214634497,“https://t.co/HvoAlYcF4E”
https://twitter.com/ujiiiiiiii2/status/1409271571282231297,"“MINYOON AU! 

Yoongi merasa bersalah pada anaknya yang lahir hanya karna keinginan keluarga, dan jimin masih belum terima perjodohan mereka. Tetapi yoongi nyakin, bahwa akan ada saatnya jimin mencintai dirinya dan anaknya.”"
https://twitter.com/ujiiiiiiii2/status/1409282106899922944,"“📌 Minyoon ABO!AU

""Its funny when u know that your destiny is someone who always bickering with you.""”"
https://twitter.com/ujiiiiiiii2/status/1409288352323362820,"“📌 Minyoon KINGDOM–ABO!AU

—Siapa sangka jika fated mate seorang putra mahkota seperti Jimin adalah rakyat jelata murahan yang sering berbuat onar?”"
https://twitter.com/ujiiiiiiii2/status/1409288928251715584,"“📌Minyoon!AU

gimana jadinya kalo temen² mereka gatau kalau sepasang musuh bebuyutan ini dinikahkan karena ramalan konyol yg dipercayai ortu mereka?

⚠️underage married”"
https://twitter.com/ujiiiiiiii2/status/1409296126402908161,"“📌 minyoon survival!au : zombie apocalypse

Apa yang lebih sulit dipertahanin selain cinta? Ya nyawa.

#RaconteurxMinYoon
#MYS_StoryTelling”"
https://twitter.com/ujiiiiiiii2/status/1409619113828241410,“128. 🐱”
https://twitter.com/ujiiiiiiii2/status/1409625022243635202,“37 ; aneh”
https://twitter.com/ujiiiiiiii2/status/1410387039724335104,"“Tentang Yoongi yang kena dare harus titip salam buat mas crush lewat radio sekolah...
Terinsipirasi dari kejadian nyata 🌚”"
https://twitter.com/ujiiiiiiii2/status/1410405010710564868,“133. 🐱”
https://twitter.com/ujiiiiiiii2/status/1410666667969945601,"“FREE PDF MINYOON • 𝟕𝐄𝐕𝐄𝐍 𝐃𝐀𝐘𝐒

Syarat klaim :
1. RT + Like tweet ini
2. Followers only
3. Isi link dengan benar

• Thank You •

Here is the link ➪ https://t.co/CI9K4BqD3g”"
https://twitter.com/ujiiiiiiii2/status/1410667629908426752,Failed to retrieve tweet content
https://twitter.com/ujiiiiiiii2/status/1410667654977712130,“#BTS #방탄소년단 #BTS_Butter Concept Photo version 3”
https://twitter.com/ujiiiiiiii2/status/1410667827086848001,“yoongi and the little bear 🧸🌷”
https://twitter.com/ujiiiiiiii2/status/1410667975632293890,“HIS POCKET SAYS ‘Forever My Friend’”
https://twitter.com/ujiiiiiiii2/status/1410668222509027330,“pink yoongi…pink eye makeup…pink lips….pink extensions……PINK”
https://twitter.com/ujiiiiiiii2/status/1410668328574545924,“#BTS #방탄소년단 #BTS_Butter Concept Photo version 2”
https://twitter.com/ujiiiiiiii2/status/1410668696465334273,“덥다 더워”
https://twitter.com/ujiiiiiiii2/status/1410670847807737857,"“Minyoon Two Tweet AU
Jidan &amp; Gibran

Boo!”"
https://twitter.com/ujiiiiiiii2/status/1410672075224719360,“apple hair 🌱”
https://twitter.com/ujiiiiiiii2/status/1410674021067198469,“Jimin holding yoombie”
https://twitter.com/ujiiiiiiii2/status/1410682372949901312,“𝑾𝒐𝒓𝒍𝒅 𖠿.”
https://twitter.com/ujiiiiiiii2/status/1410682519792492545,“検𝑬𝒅𝒊𝒕'𝒔.”
https://twitter.com/ujiiiiiiii2/status/1410683126083293184,“𝑾𝒐𝒓𝒍𝒅 𖠿.”
https://twitter.com/ujiiiiiiii2/status/1410683319629484033,“検. 𝑬𝒅𝒊𝒕'𝒔”
https://twitter.com/ujiiiiiiii2/status/1410683388915245057,“https://t.co/M2keYy0adv”
https://twitter.com/ujiiiiiiii2/status/1410683499514712064,“検. 𝑺𝒊𝒎𝒊𝒍𝒂𝒓 𝒑𝒉𝒐𝒕𝒐𝒔”
https://twitter.com/ujiiiiiiii2/status/1410683546830729217,“https://t.co/m0hRyhvFEL”
https://twitter.com/ujiiiiiiii2/status/1410684022951272448,“https://t.co/IYYfVy8ROH”
https://twitter.com/ujiiiiiiii2/status/1410684065728974851,“https://t.co/EdkJYyi1eC”
https://twitter.com/ujiiiiiiii2/status/1410684112080281600,“https://t.co/BGsj6aOQ1n”
https://twitter.com/ujiiiiiiii2/status/1410684589752811520,“https://t.co/KfYLzFdLso”
https://twitter.com/ujiiiiiiii2/status/1410685684143190017,“検. 𝓙𝓲𝓶𝓲𝓷”
https://twitter.com/ujiiiiiiii2/status/1410685818025308162,“検. 𝓨𝓸𝓸𝓷𝓰𝓲”
https://twitter.com/ujiiiiiiii2/status/1410685945691529217,“https://t.co/w6bXqdZg6W”
https://twitter.com/ujiiiiiiii2/status/1410685998581780481,“https://t.co/coXz52v6RW”
https://twitter.com/ujiiiiiiii2/status/1410686091758243840,“https://t.co/coXz52v6RW”
https://twitter.com/ujiiiiiiii2/status/1410686220422631427,“検. 𝓨𝓸𝓸𝓷𝓰𝓲”
https://twitter.com/ujiiiiiiii2/status/1410686307433517057,“https://t.co/w6bXqdZg6W”
https://twitter.com/ujiiiiiiii2/status/1410686376534708225,“https://t.co/vzm61Ms1YO”
https://twitter.com/ujiiiiiiii2/status/1410686604969058306,“https://t.co/umGhsLCRkP”
https://twitter.com/ujiiiiiiii2/status/1410686698485342211,“https://t.co/qZoD1azrTh”
https://twitter.com/ujiiiiiiii2/status/1411460625113309186,"“minyoon short au

mereka sama-sama bosan, rasa hambar dan hitam putih terus menyelimuti mereka. Yoongi berusaha bertahan karena janji yang telah mereka buat. Namun sia-sia, Jimin mematahkan semuanya. 

“Tak semua janji bisa ditepati, Gi.””"
https://twitter.com/ujiiiiiiii2/status/1411460829535301634,"“Minyoon / Jimsu AU lokal 

Hanya kisah romansa Jimin yang tertarik pada Yoongi, murid baru di sekolahnya. Juga Yoongi yang penasaran dengan si kutu buku , Jimin.”"
